%Mrecord 0 (time variation) cell 488 col 8 row 12
%CardiacSheet v5.7  Fri Sep 13 15:53:59 2013
%Reserved for the runlabel
%dt 10 usec  PrintInterval 50 usec
%:time (mS)      stim   Vm (mV)
     0.000       0 0     -88.7
     0.050       0 0     -88.7
     0.100       0 0     -88.7
     0.150       0 0     -88.7
     0.200       0 0     -88.7
     0.250       0 0     -88.7
     0.300       0 0     -88.7
     0.350       0 0     -88.7
     0.400       0 0     -88.7
     0.450       0 0     -88.7
     0.500       0 0     -88.7
     0.550       0 0     -88.7
     0.600       0 0     -88.7
     0.650       0 0     -88.7
     0.700       0 0     -88.7
     0.750       0 0     -88.7
     0.800       0 0     -88.7
     0.850       0 0     -88.7
     0.900       0 0     -88.7
     0.950       0 0     -88.7
     1.000       1 0     -88.7
     1.050       1 0     -74.4
     1.100       1 0     -65.4
     1.150       1 0     -59.3
     1.200       1 0     -54.8
     1.250       1 0     -51.2
     1.300       1 0     -48.2
     1.350       1 0     -45.3
     1.400       1 0     -42.0
     1.450       1 0     -37.8
     1.500       0 0     -31.9
     1.550       0 0     -38.2
     1.600       0 0     -40.0
     1.650       0 0     -40.9
     1.700       0 0     -41.9
     1.750       0 0     -43.5
     1.800       0 0     -45.9
     1.850       0 0     -49.6
     1.900       0 0     -54.6
     1.950       0 0     -60.3
     2.000       0 1     -65.2
     2.050       0 1     -68.8
     2.100       0 1     -71.4
     2.150       0 1     -73.4
     2.200       0 1     -75.1
     2.250       0 1     -76.4
     2.300       0 1     -77.5
     2.350       0 1     -78.4
     2.400       0 0     -79.2
     2.450       0 0     -79.9
     2.500       0 0     -80.5
     2.550       0 0     -81.1
     2.600       0 0     -81.6
     2.650       0 0     -82.0
     2.700       0 0     -82.4
     2.750       0 0     -82.8
     2.800       0 0     -83.1
     2.850       0 0     -83.4
     2.900       0 0     -83.7
     2.950       0 0     -83.9
     3.000       0 0     -84.2
     3.050       0 0     -84.4
     3.100       0 0     -84.6
     3.150       0 0     -84.8
     3.200       0 0     -85.0
     3.250       0 0     -85.1
     3.300       0 0     -85.3
     3.350       0 0     -85.4
     3.400       0 0     -85.6
     3.450       0 0     -85.7
     3.500       0 0     -85.8
     3.550       0 0     -86.0
     3.600       0 0     -86.1
     3.650       0 0     -86.2
     3.700       0 0     -86.3
     3.750       0 0     -86.4
     3.800       0 0     -86.4
     3.850       0 0     -86.5
     3.900       0 0     -86.6
     3.950       0 0     -86.7
     4.000       0 0     -86.8
%/ Program ends. Fri Sep 13 16:14:02 2013
% Copyright (c) Roger C. Barr 2013 All rights reserved.
